sorszám;cím;alcím;ünnepkör;kategória;előjegyzés;ütemmutató;versszakok száma
269;Áldj meg...kik itt egybegyűltünk;Áldás után;;ének különböző alkalmakra;1b;4/4;1
270;Áldj meg minket, Atyaisten;Áldásra. - Kimenőre;;ének különböző alkalmakra;3#;6/4;5
271;Áldj meg minket, Jézus! Esedezünk;Esőért;;ének különböző alkalmakra;1b;4/4;1
272;Hallgasd meg...Uram, Isten;Áldás után;;ének különböző alkalmakra;2#;4/4;1
273;Áldj meg minket, Teremtő;Mise végén;;ének különböző alkalmakra;1#;4/4;1
274;Áldjon meg minket;Szentbeszéd után. - Kimenőre;;ének különböző alkalmakra;1b;4/4;2
275;Hol szent Péter;Pápai himnusz;;ének különböző alkalmakra, himnusz;-;4/4;6
276A;Téged, Isten, dícsérünk;Hálaadásra;;ének különböző alkalmakra;2b;-;27
276B;Téged áldunk;Hálaadásra;;ének különböző alkalmakra;1#;4/4;9
277;Téged, Isten, magasságban;Hálaadásra;;ének különböző alkalmakra;3b;4/4;8
278;Immár a nap leáldozott;Estéli könyörgés;;ének különböző alkalmakra;-;3/4;3
279;Imádjuk a testet és vért;;nagyböjt;;1#;4/4;6
280A;Gyermekszívek;;;ének Jézusról;-;4/4;6
280B;Győzelemről énekeljen;Eucharisztikus himnusz;;ének Jézusról, himnusz;1b;4/4;4
281;Bőséges irgalmú;;;ének Jézusról;3b;4/4;6
282;Üdvözlégy, szent orvosunk;Krisztus-Királyról;;ének Jézusról;3b;4/4;12
283;Krisztusunk;Krisztus-Királyról;;ének Jézusról;-;3/4;5
284;Boldogasszony Anyánk;;Mária-ünnepek;;1b;4/4;12
285;Egek ékessége;;Mária-ünnepek;;-;3/4;7
286;Édesanyja, Nagyasszonya;;Mária-ünnepek;;1b;4/4;6
287;Angyaloknak királynéja;Litánia-parafrázis;;Mária-ének;3b;4/4;11
288;Boldogságos Krisztus Anyja;;;Mária-ének;1b;4/4;7
289;Angyaloknak nagyságos Asszonya;;;Mária-ének;1b;3/4;8
290;Gyászba borult;;;Mária-ének;2b;4/4;5
291;Dícsértessél, ó Mária;Litánia-parafrázis;;Mária-ének;2#;4/4;16
292;Máriát dícsérni;;;Mária-ének;2#;4/4;9
